obs_id,sex,length_obs_s,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb,bin,tank,time,fish_ID,cue
C04V2,male,55.98,2.25,1,10.058,0,0.254,16.97,2.498,7.606,1.998,24.25,2.745,3,3,ST2C12,after,ST2C12M,control
C04V2,male,65.31,0,0,0,0,0,35.363,0,18.391,0,10.997,0,0,4,ST2C12,after,ST2C12M,control
C04V2,male,55.98,0,0,7.745,0,0,26.506,4.25,12.244,0.998,11.495,0,0,5,ST2C12,after,ST2C12M,control
C04V2,male,65.31,0,0,19.171,1.257,0,30.497,13.66,3.898,1.998,7.752,7.244,0,6,ST2C12,after,ST2C12M,control
C04V2,male,27.88,0,0,0,0,0.501,0,3.4,8.863,0,12.001,3.25,0,7,ST2C12,after,ST2C12M,control
C04V3,female,66.73,NA,NA,NA,2.75,0,4.243,7.5,5.997,3.998,21.258,22.357,0,8,ST2C12,after,ST2C12F,control
C04V3,female,58.33,NA,NA,NA,0.5,0,0,7.927,0,20.345,0,28.999,0,9,ST2C12,after,ST2C12F,control
C04V3,female,29.2,NA,NA,NA,0,0,0,12.75,0,14.868,0,0,0,10,ST2C12,after,ST2C12F,control
C04V3,male,66.73,1.504,1,7.497,0,0,6.496,6.751,4.754,11.235,10.069,17.962,0,8,ST2C12,after,ST2C12M,control
C04V3,male,58.33,0,0,0,0,0,14.204,0,16.743,0,25.249,1.653,0,9,ST2C12,after,ST2C12M,control
C04V3,male,29.2,0,0,0,0.751,0,4.745,7.248,2.252,7.207,3.249,3.998,0,10,ST2C12,after,ST2C12M,control
C05V1,female,66.16,NA,NA,NA,15.496,5.253,14.842,0,8.845,3,37.489,1.246,0,0,ST2C7,after,ST2C7F,control
C05V1,female,57.83,NA,NA,NA,0,0,10.996,15.924,22.496,0,7.744,0,0,1,ST2C7,after,ST2C7F,control
C05V1,female,57.83,NA,NA,NA,0,0,1.748,9.246,3.001,16.244,7.752,18.909,0,2,ST2C7,after,ST2C7F,control
C05V1,female,66.09,NA,NA,NA,0.752,0,0,9.746,0,21.484,0,33.958,0,3,ST2C7,after,ST2C7F,control
C05V1,female,57.83,NA,NA,NA,7.249,0,0,2.494,0,17.953,0,36.245,0,4,ST2C7,after,ST2C7F,control
C05V1,female,57.83,NA,NA,NA,0,0,0,2.247,0,28.734,0,26.365,0,5,ST2C7,after,ST2C7F,control
C05V1,female,57.83,NA,NA,NA,8.657,0,0,6.499,0,20.735,0,30.314,0,6,ST2C7,after,ST2C7F,control
C05V1,female,66.09,NA,NA,NA,0,0,0,3.505,0,22.887,0,39.402,2,7,ST2C7,after,ST2C7F,control
C05V1,female,57.83,NA,NA,NA,25.399,0,0,2.999,0,8.745,15.905,29.421,0,8,ST2C7,after,ST2C7F,control
C05V1,female,57.83,NA,NA,NA,17.249,0,0,1,0,17.239,1.248,38.071,0,9,ST2C7,after,ST2C7F,control
C05V1,female,3.77,NA,NA,NA,0,0,0,1.611,0,1.652,0,0,0,10,ST2C7,after,ST2C7F,control
C05V1,male,66.16,0,0,8.6,0,4.501,17.907,6.001,15.354,13.745,10.495,2.25,1,0,ST2C7,after,ST2C7M,control
C05V1,male,57.83,0,0,24.682,0,0,17.243,11.93,24.147,0,4.244,0,0,1,ST2C7,after,ST2C7M,control
C05V1,male,57.83,0,0,16.258,0,0,2.927,11.152,5.501,21.24,0,16.752,0,2,ST2C7,after,ST2C7M,control
C05V1,male,66.09,0,0,37.753,0,0,1.655,10.493,0,29.913,0,23.734,0,3,ST2C7,after,ST2C7M,control
C05V1,male,57.83,0,0,30.753,0,0,5.248,2.249,0.75,16.997,1.249,30.866,0,4,ST2C7,after,ST2C7M,control
C05V1,male,57.83,2.247,2,19.245,0,0,0,1.752,0,35.895,0,19.903,0,5,ST2C7,after,ST2C7M,control
C05V1,male,57.83,0,0,9.749,0,0,0,10.073,0,25.48,0,22.003,0,6,ST2C7,after,ST2C7M,control
C05V1,male,66.09,1.001,2,15.251,0,0,0,3.998,1.616,31.069,0.503,28.24,0,7,ST2C7,after,ST2C7M,control
C05V1,male,57.83,0,0,9.176,0,0,0,6.736,0,17.155,0,33.669,0,8,ST2C7,after,ST2C7M,control
C05V1,male,57.83,0,0,6,2.249,0,4.002,0,7.737,16.995,11.004,17.213,0,9,ST2C7,after,ST2C7M,control
C05V1,male,3.77,0,0,0.75,0,0,0,0,0,3.268,0,0,0,10,ST2C7,after,ST2C7M,control
C05V2,female,66.16,NA,NA,NA,0,0,2.746,21.999,1.999,20.994,1.503,16.485,0,0,ST2C7,before,ST2C7F,control
C05V2,female,57.83,NA,NA,NA,0,0,0,19.457,0,23.633,0,14.245,0,1,ST2C7,before,ST2C7F,control
C05V2,female,57.83,NA,NA,NA,16.749,0,6.25,1.902,4.744,3.495,29.459,11.499,0,2,ST2C7,before,ST2C7F,control
C05V2,female,66.09,NA,NA,NA,9.001,0,0,5.997,0,22.231,7.249,29.697,0,3,ST2C7,before,ST2C7F,control
C05V2,female,57.83,NA,NA,NA,7.999,0,0,8.991,0,23.762,0,24.101,0,4,ST2C7,before,ST2C7F,control
C05V2,female,57.83,NA,NA,NA,21.502,0,0,0.496,0,11.015,4.745,41.299,0,5,ST2C7,before,ST2C7F,control
C05V2,female,57.83,NA,NA,NA,5.103,0,1.5,8.152,5.743,11.235,20.989,9.751,0,6,ST2C7,before,ST2C7F,control
