obs_id,length_obs_s,sex,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb
C09V1006,58.330,male,1.001,2,1.499,0,0,0,0,1.000,13.437,17.395,26.243,0
C09V1007,58.330,male,2.748,2,7.173,0,0,1.751,0,14.401,2.747,21.245,17.498,0
C09V1008,58.330,male,0,0,21.756,0,0,0.999,0,14.712,1.350,32.746,7.993,0
C09V1009,58.330,male,0,0,18.428,3.002,0,2.995,0.498,3.247,16.900,16.672,17.747,0
C09V1010,3.500,male,0,0,0,0,0,0,0,0,0,1.153,1.965,0
C09V2000,66.730,male,0,0,0,0,66.272,0,0,0,0,0,66.272,0
C09V2001,58.330,male,0,0,0,0,57.328,0,0,0,0,0,58.082,0
C09V2002,58.330,male,0,0,0,0,56.902,0,0,0,0,0,58.077,0
C09V2003,58.330,male,0,0,0,0,1.002,0,0,0,0,23.999,34.074,0
C09V2004,58.330,male,4.498,2,0.753,0,0,0,0,0,0,44.921,13.154,2
C09V2005,66.670,male,17.503,4,3.998,0,12.750,0,0,0,0,66.266,0,0
C09V2006,58.330,male,9.246,3,11.251,4.173,2.500,0,0,0,0,41.899,16.171,0
C09V2007,58.330,male,3.502,3,0,4.247,0,0,0,1.500,6.439,22.743,24.150,0
C09V2008,58.330,male,4.249,3,0,10.711,0,0,0,5.500,0,50.372,1.993,0
C09V2009,58.330,male,0,0,0.750,12.429,0,0,0,0,0,8.402,49.678,0
C09V2010,66.670,male,3.621,2,0.753,20.251,0.499,0,0,0,0,8.245,58.015,1
C10V1000,66.730,male,0,0,2.250,0,0,26.988,26.890,7.655,4.252,0,0.499,0
C10V1001,58.330,male,0,0,4.248,0.253,0,17.668,15.140,9.233,6.501,5.752,2.748,1
C10V1002,58.330,male,0,0,1.002,0,0,20.390,17.748,6.065,4.746,4.847,3.249,0
C10V1003,58.330,male,0,0,6.068,2.002,0,7.249,6.753,7.734,5.731,11.072,19.496,0
C10V1004,58.330,male,0,0,2.002,0,0,25.903,2.245,10.234,1.252,15.148,3.244,0
C10V1005,66.670,male,0,0,15.121,3.999,0,2.654,6.495,1.246,8.749,5.968,41.234,0
C10V1006,58.330,male,0,0,21.250,9.749,0,0,3.748,0,6.467,0,47.652,0
C10V1007,58.330,male,0,0,18.258,3.248,0,10.253,3.678,1.996,3.654,14.998,23.488,0
C10V1008,58.330,male,0,0,13.499,4.245,0,10.240,1.999,7.750,5.643,7.002,25.221,0
C10V1009,58.330,male,0,0,35.015,0.753,0,24.001,6.149,8.733,4.002,15.174,0,0
C10V1010,41.600,male,0,0,11.249,0.497,0,24.964,5.498,4.999,1.249,2.653,1.749,0
C10V2000,66.730,male,0,0,12.747,0,0,26.365,11.243,8.983,4.252,8.750,6.741,0
C10V2001,58.330,male,0,0,5.247,0,0,33.112,2.503,13.489,1.750,6.989,0,1
C10V2002,58.330,male,0,0,3.000,0,0,40.133,0,10.240,0,7.082,0.644,0
C10V2003,58.330,male,0,0,0.751,0,0,15.747,21.754,7.742,6.485,2.612,3.653,0
C10V2004,58.330,male,0,0,0.500,0,0,28.239,1.500,19.622,1.804,4.800,2.066,0
C10V2005,66.670,male,0,0,2.003,0,0,19.245,12.114,15.730,6.394,6.499,6.246,0
C10V2006,58.330,male,0,0,4.253,0,0,3.002,29.595,0.996,13.501,0.748,9.993,0
C10V2007,58.330,male,0,0,0,0,0,3.097,47.478,1.247,5.996,0,0,0
C10V2008,58.330,male,0,0,1.999,0,0,6.999,28.982,0.749,17.585,0,2.959,0
C10V2009,58.330,male,2.748,3,6.253,0,0,29.245,3.212,11.751,1.832,4.992,6.029,0
C10V2010,58.470,male,0,0,5.994,0.500,0,13.969,0.001,7.497,1.248,5.991,29.403,0
C11V1000,66.160,male,5.998,3,15.497,0.786,0,0,0,0,0,41.211,24.683,0
C11V1001,57.830,male,4.246,3,5.723,0,0,0,0,1.500,0.587,42.242,13.208,0
C11V1002,57.830,male,0.500,1,22.722,0,0,0,0,0.999,2.652,40.656,13.251,2
C11V1003,66.090,male,2.002,2,13.159,0,0.999,0,0,7.244,0,57.078,1.497,0
C11V1004,57.830,male,1.750,1,5.000,0,0,0,0,0.494,0,38.135,18.746,0
